Hip,,,,,,,,,,Neck,,,,,,,,,,Head,,,,,,,,,,RShoulder,,,,,,,,,,RForearm,,,,,,,,,,LShoulder,,,,,,,,,,LForearm,,,,,,,,,,RThigh,,,,,,,,,,RShin,,,,,,,,,,LThigh,,,,,,,,,,LShin
x-axis,y-axis,z-axis,x-speed,y-speed,z-speed,x-acc,y-acc,z-acc,,x-axis,y-axis,z-axis,x-speed,y-speed,z-speed,x-acc,y-acc,z-acc,,x-axis,y-axis,z-axis,x-speed,y-speed,z-speed,x-acc,y-acc,z-acc,,x-axis,y-axis,z-axis,x-speed,y-speed,z-speed,x-acc,y-acc,z-acc,,x-axis,y-axis,z-axis,x-speed,y-speed,z-speed,x-acc,y-acc,z-acc,,x-axis,y-axis,z-axis,x-speed,y-speed,z-speed,x-acc,y-acc,z-acc,,x-axis,y-axis,z-axis,x-speed,y-speed,z-speed,x-acc,y-acc,z-acc,,x-axis,y-axis,z-axis,x-speed,y-speed,z-speed,x-acc,y-acc,z-acc,,x-axis,y-axis,z-axis,x-speed,y-speed,z-speed,x-acc,y-acc,z-acc,,x-axis,y-axis,z-axis,x-speed,y-speed,z-speed,x-acc,y-acc,z-acc,,x-axis,y-axis,z-axis,x-speed,y-speed,z-speed,x-acc,y-acc,z-acc,,
-0.193828,0.891115,1.01831,-0.00469521,0.000150204,-0.00583649,-0.0461876,0.00504255,-0.0336886,,-0.176959,1.41497,0.954495,-0.00603989,8.22544E-05,-0.0182658,-0.0304699,0.00708103,0.0347614,,-0.164732,1.54673,1.00148,-0.00496566,0.00185609,-0.0235319,-0.112948,0.00193119,0.0697374,,-0.341865,1.43885,0.993967,-0.00513464,-0.00619412,-0.00908732,-0.0952721,-0.0298262,-0.209534,,-0.626686,1.35354,1.03847,-0.0032115,-0.041163,-0.0654566,-0.00311136,-0.301909,-0.259209,,-0.00763111,1.41653,0.978262,-0.00407293,-0.00207782,-0.0294024,-0.0648961,0.00708103,0.287533,,0.272796,1.31636,1.01957,-0.0115442,-0.00667691,0.00952005,-0.0198484,0.0169516,-0.0143766,,-0.295125,0.933116,1.01234,-0.00447571,0.000298619,-0.00850081,-0.0447393,-0.00482798,-0.122094,,-0.344253,0.497665,1.03534,-0.00905067,0.000969172,-0.00558615,0.0972569,-0.0196874,-0.100851,,-0.0935253,0.933756,1.00482,-0.00430092,-0.000135899,-0.00379801,-0.0387847,0.0144839,0.0523567,,-0.0771832,0.495275,0.999283,-0.00142939,-9.11951E-05,0.00119627,0.109085,0.0217259,-0.0848651,,
-0.193985,0.89112,1.01812,-0.0062348,0.000318289,-0.00695944,-0.0359684,0.00321865,-0.0319719,,-0.177161,1.41497,0.953886,-0.00705555,0.000314713,-0.0171071,-0.0399917,-0.00321865,-0.08111,,-0.164897,1.54679,1.0007,-0.00873059,0.00192404,-0.0212091,-0.0489235,0.00150204,-0.0923753,,-0.342036,1.43864,0.993664,-0.00831127,-0.00718832,-0.0160718,-0.0492454,-0.0203848,-0.105465,,-0.626793,1.35217,1.03629,-0.00331342,-0.0512302,-0.0740969,-0.0556827,-0.0999928,-0.477219,,-0.00776687,1.41647,0.977282,-0.00623614,-0.00183821,-0.019818,-0.0419766,-0.0105143,-0.0600815,,0.272411,1.31614,1.01989,-0.0122058,-0.00610828,0.00903726,-0.0523567,0.0444174,0.109005,,-0.295274,0.933126,1.01206,-0.00596792,0.000137687,-0.0125742,-0.0351369,0.00482798,-0.0298262,,-0.344555,0.497697,1.03515,-0.00580788,0.000312924,-0.00895143,0.0577748,-0.00531077,-0.0236034,,-0.0936686,0.933751,1.0047,-0.00559375,0.000345111,-0.00205278,-0.0361025,-0.000429153,-0.0427008,,-0.0772309,0.495272,0.999323,0.00220679,0.000633001,-0.00163257,0.0885934,0.00348687,0.0569701,,
-0.194192,0.89113,1.01789,-0.00743374,0.000425577,-0.00802159,-0.0288874,0.0163078,-0.00622273,,-0.177396,1.41499,0.953316,-0.00838861,0.000211,-0.0198108,0.0298798,0.00815392,-0.0903368,,-0.165188,1.54686,0.999992,-0.0103609,0.00197411,-0.0242865,0.0559241,0.0158787,-0.119197,,-0.342313,1.4384,0.993129,-0.00995189,-0.00786424,-0.0195873,0.040555,0.0118017,-0.0447393,,-0.626903,1.35047,1.03382,-0.00516951,-0.0545633,-0.0900078,0.0356197,0.439024,0.784922,,-0.00797474,1.4164,0.976621,-0.00763536,-0.00218511,-0.0218207,0.038141,-0.0154495,-0.143552,,0.272004,1.31594,1.02019,-0.0139511,-0.00463128,0.0126708,-0.0566483,-0.0916243,0.237536,,-0.295473,0.933131,1.01164,-0.00714004,0.000298619,-0.0135684,-0.019902,0.0400186,0.0130892,,-0.344749,0.497707,1.03485,-0.00388295,0.000135005,-0.00973821,-0.0238717,0.0430226,0.0592232,,-0.0938551,0.933763,1.00463,-0.00679717,0.000332594,-0.00347972,-0.0217125,-0.00879765,-0.0313282,,-0.0771573,0.495293,0.999269,0.0051599,0.00074923,0.000264645,-0.138831,-0.013572,0.0107288,,
-0.19444,0.891145,1.01762,-0.00839621,0.000967383,-0.00822902,0.00410378,0.0204921,0.00193119,,-0.177675,1.41499,0.952655,-0.00739262,0.000486374,-0.0228238,0.0503451,0.0212431,0.0362635,,-0.165534,1.54692,0.999182,-0.00849724,0.0025034,-0.0282615,0.0542074,0.0163078,0.0482798,,-0.342645,1.43814,0.992476,-0.00860006,-0.00747085,-0.0210768,0.0428081,0.0113726,0.0146985,,-0.627076,1.34865,1.03082,-0.00398219,-0.0399292,-0.0638473,0.0611544,0.381088,1.01645,,-0.00822926,1.41633,0.975894,-0.00636399,-0.00270009,-0.0266057,0.0482261,-0.00751019,0.0590086,,0.271539,1.31578,1.02061,-0.0158402,-0.00768542,0.0205851,-0.064534,-0.192046,0.278306,,-0.295711,0.933141,1.01119,-0.00780433,0.00163257,-0.0131285,0.00933409,0.035727,0.0212431,,-0.344878,0.497712,1.03453,-0.00467867,0.0015682,-0.00776768,-0.10702,0.0460267,-0.0306845,,-0.0940817,0.933774,1.00451,-0.00752091,4.11272E-05,-0.00452042,0.00791252,0.00633001,-0.0141621,,-0.0769853,0.495318,0.999277,0.000532195,0.000296831,0.000622273,-0.216481,-0.00150204,-0.0975251,,
-0.19472,0.891177,1.01734,-0.00825986,0.00165224,-0.00816464,0.00793934,0.023818,-0.0287533,,-0.177922,1.41501,0.951895,-0.005714,0.00119448,-0.021615,-0.0183195,0.023818,0.0275731,,-0.165817,1.54701,0.99824,-0.00669032,0.00304699,-0.026654,-0.0390261,0.0165224,0.0534296,,-0.342932,1.43789,0.991773,-0.00717402,-0.00709176,-0.0205869,-0.0376582,-0.00686646,-0.0310063,,-0.627208,1.34732,1.02869,-0.0019455,-0.0272298,-0.0299692,-0.00193119,-0.0236034,0.191188,,-0.00844139,1.41624,0.975007,-0.00475645,-0.00294685,-0.0246388,-0.0260174,0.0118017,0.0904441,,0.271011,1.31553,1.0213,-0.0179923,-0.0140834,0.0298655,-0.101334,-0.222516,-0.0321865,,-0.295971,0.933195,1.01075,-0.00749409,0.00282168,-0.0124204,0.00343323,0.0148058,-0.0143766,,-0.345034,0.497764,1.03427,-0.00824511,0.00310242,-0.00879049,-0.115818,0.0236034,-0.102568,,-0.0943324,0.933775,1.00436,-0.00725716,0.00025034,-0.00499249,0.00222623,0.0322938,-0.0448465,,-0.0769676,0.495328,0.999298,-0.00668384,0.000246763,-0.00262678,-0.00602156,0.031811,-0.0354052,,
-0.194995,0.891232,1.01707,-0.00799477,0.00244618,-0.00912666,0.000375509,0.0316501,-0.044632,,-0.178112,1.41505,0.951174,-0.0063242,0.00198841,-0.0206959,-0.192744,0.0246763,-0.181747,,-0.16604,1.54711,0.997352,-0.00799164,0.00360131,-0.0248748,-0.254166,0.0431299,-0.219727,,-0.343171,1.43765,0.991087,-0.00842929,-0.00732422,-0.0216222,-0.207335,-0.0605106,-0.191724,,-0.627273,1.34641,1.02769,-0.00200987,-0.028013,-0.0235963,-0.134754,-0.232387,-0.0768185,,-0.00859994,1.41614,0.974186,-0.0056237,-0.00255704,-0.021624,-0.192623,0.0961304,-0.179601,,0.270411,1.31506,1.02229,-0.0213692,-0.0215042,0.028789,-0.448036,-0.20256,0.537515,,-0.296221,0.933289,1.01034,-0.00737965,0.00331521,-0.0129032,-0.00777841,0.0112653,-0.0474215,,-0.345309,0.497868,1.03397,-0.0121066,0.00388831,-0.0122058,-0.0192583,0.0152886,0.00493527,,-0.0945743,0.933784,1.00419,-0.00718296,0.0013268,-0.00648737,-0.00834167,0.0481725,-0.0575066,,-0.0771904,0.495336,0.999211,-0.00688456,0.00130713,-0.00380695,0.092563,0.0513375,0.0247836,,
-0.195262,0.891313,1.01677,-0.00798181,0.00349939,-0.0106108,0.00335276,0.0211358,-0.0444174,,-0.178323,1.41511,0.950484,-0.0127494,0.00281096,-0.0267524,0.00968278,0.016737,-0.00160933,,-0.166306,1.54723,0.996523,-0.0164643,0.00503898,-0.032199,0.00466704,0.00858307,0.022316,,-0.343452,1.43741,0.990366,-0.0153405,-0.00933766,-0.028013,-0.0041306,0.00150204,-0.0492454,,-0.62734,1.34547,1.0269,-0.00650168,-0.0357628,-0.0261569,-0.034225,0.124669,0.0105143,,-0.00878739,1.41606,0.973465,-0.0120445,0.000650883,-0.0276089,0.00356734,-0.0107288,0.050211,,0.269699,1.31434,1.02325,-0.0363046,-0.0282598,0.0467062,-0.813621,-0.604248,2.84314,,-0.296467,0.9334,1.00991,-0.00763893,0.00368893,-0.0144804,-0.000536442,0.0139475,-0.0287533,,-0.345712,0.497997,1.03357,-0.0127485,0.00439882,-0.0120449,0.0575602,0.0134647,0.0813246,,-0.0948137,0.933828,1.00398,-0.00746124,0.00293076,-0.00840068,-0.00175685,0.027144,-0.0645876,,-0.0774199,0.49538,0.999084,-0.0037989,0.00301838,-0.00298083,0.0533626,0.0284851,0.0240326,,
-0.195528,0.89143,1.01641,-0.0078705,0.00420392,-0.0120914,-0.0188559,-0.00128746,-0.0433445,,-0.178748,1.41521,0.949593,-0.0124267,0.00336528,-0.0268042,-0.000214577,0.00729561,0.028646,,-0.166855,1.5474,0.995449,-0.0163083,0.00532508,-0.0314552,-0.00694692,0.000429153,0.0490308,,-0.343963,1.4371,0.989432,-0.0154781,-0.00929117,-0.0296545,-0.00697374,-0.0221014,0.0170589,,-0.627557,1.34428,1.02603,-0.00764251,-0.0316036,-0.0258029,-0.00107288,0.0424862,0.211144,,-0.00918888,1.41608,0.972545,-0.0119256,0.000293255,-0.025937,-0.00143498,-0.00343323,0.0428081,,0.268489,1.3134,1.02481,-0.0634253,-0.0483978,0.141478,-0.90723,-0.259209,2.93026,,-0.296722,0.933523,1.00942,-0.00765771,0.00415385,-0.0154424,-0.0110507,0.0224233,-0.0124455,,-0.346137,0.498144,1.03317,-0.0108299,0.00484854,-0.00933409,0.080359,0.0159323,0.05579,,-0.0950624,0.933926,1.0037,-0.00752002,0.00383556,-0.0105536,-0.0124052,-0.0218868,-0.0609398,,-0.0775465,0.495481,0.998984,-0.00202015,0.00396878,-0.00217974,0.0477433,-0.0200629,0.034225,,
-0.19579,0.89157,1.01601,-0.00849858,0.004161,-0.0135326,-0.0467777,-0.0168443,-0.0102997,,-0.179162,1.41532,0.948699,-0.0124338,0.00360847,-0.0258493,0.0714004,-0.0339031,-0.0689864,,-0.167399,1.54757,0.994401,-0.0165394,0.00534296,-0.0298226,0.0743777,-0.0332594,-0.0728488,,-0.344479,1.43679,0.988444,-0.0157097,-0.0100243,-0.0290841,0.0532687,-0.0184536,-0.153208,,-0.627812,1.34323,1.02517,-0.00767827,-0.0301909,-0.0187683,0.257492,-0.617981,-0.151706,,-0.00958639,1.41609,0.97168,-0.0119734,0.000178814,-0.02451,0.0606313,-0.0746727,0.0150204,,0.266375,1.31179,1.02953,-0.0936672,-0.0570381,0.239157,-0.589711,-0.0879765,1.26042,,-0.296977,0.933661,1.00891,-0.00802606,0.00490129,-0.0158608,-0.036478,0.00429153,-0.0302553,,-0.346498,0.498305,1.03285,-0.00815123,0.00537962,-0.00747442,0.0221014,0.000965595,0.0246763,,-0.0953131,0.934054,1.00335,-0.00793353,0.003106,-0.0125849,-0.0358746,-0.0418425,-0.00708103,,-0.0776138,0.495613,0.998912,-0.00042893,0.00329912,-0.0010407,0.0240997,-0.0389993,0.0173807,,
-0.196074,0.891709,1.01556,-0.0100583,0.00359952,-0.0138795,-0.034681,-0.0256419,0.00493527,,-0.179577,1.41544,0.947837,-0.0100538,0.00247479,-0.0281507,-0.126761,-0.0480652,-0.158465,,-0.16795,1.54775,0.993407,-0.0140601,0.00423431,-0.0322527,-0.17893,-0.0330448,-0.190544,,-0.345003,1.43645,0.987474,-0.0139341,-0.0106359,-0.0341892,-0.151384,-0.0957012,-0.238824,,-0.628068,1.34222,1.02455,0.000904799,-0.0507903,-0.0238252,0.393534,-1.92647,-0.979757,,-0.00998551,1.4161,0.970863,-0.00995234,-0.00231385,-0.0240111,-0.137048,-0.00879765,-0.082612,,0.263252,1.30988,1.0375,-0.113324,-0.0599742,0.281171,-0.921714,-0.297833,0.713682,,-0.297244,0.933825,1.00838,-0.009242,0.00504613,-0.0168693,-0.0404477,-0.0474215,-0.0384092,,-0.34677,0.498485,1.03261,-0.00741452,0.0054118,-0.00665546,-0.131321,-0.0362098,-0.0268221,,-0.0955775,0.934157,1.00293,-0.00912957,0.00171304,-0.0128245,-0.0392139,-0.0115871,0.0165224,,-0.0776281,0.495723,0.998877,0.000374392,0.00199914,-0.00046134,-0.0348687,-0.0108898,0.00439882,,
